Food Name,Food Group,Food Sub Group,Per Serving,Energy (kcal),Protein (g),Total Fat (g),Carbo (g),Dietary Fibre (g),Calcium (mg),Sugar (g)
"Cream, sour",MILK AND MILK PRODUCTS,Cream,Tablespoon (20g),74.28,0.46,7.94,0.58,0,14,0.58
"Cream, whipping",MILK AND MILK PRODUCTS,Cream,Tablespoon (3g),9.09,0.1,0.91,0.16,0,3.42,0.16
"Curd, cow's milk",MILK AND MILK PRODUCTS,Cream,Cup (225g),135,6.98,9,6.53,0,335.25,6.53
Commercial thick milkshake,MILK AND MILK PRODUCTS,Ice creams,Cup (214g),193.85,6.21,6.85,28.25,,214,28.25
"Gelato, vanilla",MILK AND MILK PRODUCTS,Ice creams,Cup (100g),171,4.3,9.2,17.7,1.6,116,17.7
Ice cream,MILK AND MILK PRODUCTS,Ice creams,Scoop (60g),135.66,1.98,8.52,13.68,0,66,13.68
"Ice cream, chocolate",MILK AND MILK PRODUCTS,Ice creams,Cup (132g),285.12,5.02,14.52,37.22,1.58,143.88,33.48
"Ice cream, green tea",MILK AND MILK PRODUCTS,Ice creams,Scoop (50g),72,1.45,3.7,8.15,0.55,46.5,8.15
"Ice cream, vanilla",MILK AND MILK PRODUCTS,Ice creams,Scoop (50g),113.5,2.15,6.65,11.3,0.15,72,10
"Ice cream, vanilla, W/ chocolate coating",MILK AND MILK PRODUCTS,Ice creams,Whole (148g),488.55,6.22,35.67,35.67,0,211.64,30.64
"Ice cream, with chocolate chips",MILK AND MILK PRODUCTS,Ice creams,Scoop (50g),95,1.4,5,11.05,0.65,40.2,11.05
"Ice cream, with nuts",MILK AND MILK PRODUCTS,Ice creams,Scoop (50g),115.5,1.75,7.25,10.85,2.75,50.3,10.7
Ice lolly,MILK AND MILK PRODUCTS,Ice creams,Stick (80g),53.54,0.24,0.08,13.68,0,2.4,13.68
"Ice milk, vanilla",MILK AND MILK PRODUCTS,Ice creams,Scoop (45g),78.19,1.85,4.14,8.96,0,61.2,8.96
Wafer ice cream,MILK AND MILK PRODUCTS,Ice creams,1 portion (110g),383.32,11.11,0.77,86.68,1.54,187,1.21
Buttermilk,MILK AND MILK PRODUCTS,Milks,Cup (258g),149.36,10.84,5.16,13.93,0,368.94,13.93
Full cream milk,MILK AND MILK PRODUCTS,Milks,Cup (256g),166.43,8.19,8.7,11.78,0,238.08,11.78
Low fat chocolate milk,MILK AND MILK PRODUCTS,Milks,Cup (266g),204.82,11.7,3.72,30.86,0.8,207.48,27.93
Low fat milk fortified with protein,MILK AND MILK PRODUCTS,Milks,Cup (260g),139.82,10.66,4.68,14.56,0,374.4,0
"Low fat milk, concentrated calcium",MILK AND MILK PRODUCTS,Milks,Packet (125g),77.5,4,1.88,11.38,0,650,11
"Milk, filled",MILK AND MILK PRODUCTS,Milks,Can (525g),1786.81,45.68,49.35,287.7,0,1701,
"Milk, filled, sweetened, condensed, canned",MILK AND MILK PRODUCTS,Milks,Can (525g),1800.61,44.63,62.48,264.6,0,1443.75,
"Milk, fluid, UHT, commercial",MILK AND MILK PRODUCTS,Milks,Cup (250g),160.88,8.75,9.25,11.25,0,282.5,11.25
"Milk, goat, fluid, whole",MILK AND MILK PRODUCTS,Milks,Cup (258g),1035.45,72.76,13.42,156.35,0,3299.82,156.35
"Milk, malted drink, packet",MILK AND MILK PRODUCTS,Milks,Cup (400g),389.1,8,31.2,18.8,,216,18.8
"Milk, malted, powder",MILK AND MILK PRODUCTS,Milks,Tablespoon (11g),43.46,1.4,0.76,7.74,0.01,40.7,5.27
"Milk, powder, goat, whole",MILK AND MILK PRODUCTS,Milks,Tablespoon (8g),39.28,2.18,2.17,2.92,0,78.24,2.92
"Milk, powder, whole, instant",MILK AND MILK PRODUCTS,Milks,Tablespoon (7g),34.51,1.9,1.86,2.54,0,67.2,2.54
"Milk, reduced fat, evaporated, canned",MILK AND MILK PRODUCTS,Milks,Cup (265g),242.18,20.94,5.57,28.09,0,707.55,28.09
"Milk, skimmed, evaporated, canned",MILK AND MILK PRODUCTS,Milks,Cup (268g),201.96,20.64,1.07,28.14,0,659.28,28.14
"Milk, skimmed, sweetened, condensed",MILK AND MILK PRODUCTS,Milks,Cup (335g),917.63,33.5,0.67,202.01,0,1189.25,202.01
"Milk, whole",MILK AND MILK PRODUCTS,Milks,Cup (200g),128,6.4,7.4,9,0.2,186,9
"Milk, whole, evaporated, canned",MILK AND MILK PRODUCTS,Milks,One quarter (100g),141.15,7.6,8.1,9.9,0,255,9.9
"Milk, whole, sweetened, condensed, canned",MILK AND MILK PRODUCTS,Milks,Cup (325g),1088.25,28.6,28.93,178.43,0,1072.5,178.43
Skimmed milk,MILK AND MILK PRODUCTS,Milks,Cup (259g),87.98,9.32,0.26,12.43,0,303.03,12.43
UHT chocolate milk,MILK AND MILK PRODUCTS,Milks,Cup (264g),195.36,8.71,5.02,29.3,0.79,311.52,27.72
UHT milk,MILK AND MILK PRODUCTS,Milks,Cup (256g),183.56,8.96,8.7,18.18,0,279.04,18.18
Frozen yoghurt,MILK AND MILK PRODUCTS,Yoghurts (yogurt drinks under 1102),Cup (150g),156,6.6,1.2,29.55,3,238.5,18.92
Natural yoghurt,MILK AND MILK PRODUCTS,Yoghurts (yogurt drinks under 1102),Cup (150g),108.99,7.05,5.1,7.05,0,256.5,0
"Original yoghurt, small, no topping",MILK AND MILK PRODUCTS,Yoghurts (yogurt drinks under 1102),Cup (159g),162.18,5.25,2.43,29.89,0.48,193.98,29.57
"Yoghurt drink, low fat, mixed fruit",MILK AND MILK PRODUCTS,Yoghurts (yogurt drinks under 1102),Cup (200g),142,3.8,1.2,29.2,0.6,250,26
"Yoghurt, fruit variety, nonfat",MILK AND MILK PRODUCTS,Yoghurts (yogurt drinks under 1102),Cup (245g),232.75,10.78,0.49,46.55,0,372.4,46.55
Coconut cream,"NUTS AND SEEDS, PULSES AND PRODUCTS",Nuts and products,Tablespoon (16g),117.28,0.03,11.04,4.46,0.13,1.12,0.16
"Coconut flesh, old","NUTS AND SEEDS, PULSES AND PRODUCTS",Nuts and products,Cup (103g),367.71,7,35.54,4.84,8.03,9.27,1.41
"Coconut flesh, young","NUTS AND SEEDS, PULSES AND PRODUCTS",Nuts and products,Cup (170g),64.6,1.87,2.55,8.5,0.85,32.3,4.42
"Coconut milk, fluid","NUTS AND SEEDS, PULSES AND PRODUCTS",Nuts and products,Cup (238g),661.64,6.66,67.35,6.9,5.24,21.42,1.67
"Coconut milk, low fat","NUTS AND SEEDS, PULSES AND PRODUCTS",Nuts and products,Cup (60g),94.8,1.02,8.82,2.82,0.24,2.4,1.5
"Coconut milk, powder, instant","NUTS AND SEEDS, PULSES AND PRODUCTS",Nuts and products,Packet (60g),431.46,6.04,41.77,7.84,0.11,16.92,3.93
"Coconut, grated and desiccated","NUTS AND SEEDS, PULSES AND PRODUCTS",Nuts and products,Cup (75g),497.37,4.73,48.83,5.48,11.55,9,4.95
Macadamia nut,"NUTS AND SEEDS, PULSES AND PRODUCTS",Nuts and products,Cup (145g),1064.26,11.02,110.49,6.53,8.7,69.6,6.53
"Nuts, almonds","NUTS AND SEEDS, PULSES AND PRODUCTS",Nuts and products,Cup (143g),826.54,30.4,72.42,28.23,16.87,354.64,6.86
"Nuts, almonds, blanched","NUTS AND SEEDS, PULSES AND PRODUCTS",Nuts and products,Cup (145g),842.45,31.81,73.4,28.91,15.08,313.2,7.19
"Nuts, almonds, dry roasted, with salt added","NUTS AND SEEDS, PULSES AND PRODUCTS",Nuts and products,Cup (138g),821.1,28.98,71.83,14.21,15.04,368.46,6.8
"Nuts, brazil nuts, dried, unblanched","NUTS AND SEEDS, PULSES AND PRODUCTS",Nuts and products,Cup (133g),872.48,19.05,88.35,16.32,9.98,212.8,3.1
"Nuts, candlenut","NUTS AND SEEDS, PULSES AND PRODUCTS",Nuts and products,Whole (11.4g),76.15,2.07,7.1,0.97,,17.56,
"Nuts, cashew nuts, dry roasted, without salt added","NUTS AND SEEDS, PULSES AND PRODUCTS",Nuts and products,Cup (137g),786.38,20.97,63.5,40.68,4.11,61.65,6.86
"Nuts, cashew nuts, oil roasted, with salt added","NUTS AND SEEDS, PULSES AND PRODUCTS",Nuts and products,Cup (129g),749.49,21.72,61.62,38.91,4.26,55.47,6.46
"Nuts, chestnut, Chinese","NUTS AND SEEDS, PULSES AND PRODUCTS",Nuts and products,Whole (9g),20.43,0.4,0.31,4.03,0.55,2.43,0.69
"Nuts, chestnuts, Chinese, dried","NUTS AND SEEDS, PULSES AND PRODUCTS",Nuts and products,Cup (240g),871.2,16.37,4.34,191.42,5.28,69.6,
"Nuts, chestnuts, Chinese, roasted","NUTS AND SEEDS, PULSES AND PRODUCTS",Nuts and products,Cup (239.4g),572.17,10.73,2.85,125.35,,45.49,
"Nuts, gingko nuts, boiled","NUTS AND SEEDS, PULSES AND PRODUCTS",Nuts and products,Piece (21g),34.63,0.9,0.27,7.14,0.04,1.47,
"Nuts, hazelnuts","NUTS AND SEEDS, PULSES AND PRODUCTS",Nuts and products,Cup (140g),879.2,20.93,85.05,23.38,13.58,159.6,6.08
"Nuts, mixed nuts, oil roasted, with peanuts, with salt added","NUTS AND SEEDS, PULSES AND PRODUCTS",Nuts and products,Cup (142g),876.14,23.8,79.99,30.4,12.78,153.36,5.99
"Nuts, peanut, salted, dry roasted","NUTS AND SEEDS, PULSES AND PRODUCTS",Nuts and products,Cup (155g),965.65,38.75,82.15,17.83,9.92,48.05,6.05
"Nuts, peanut, with shell, dry roasted","NUTS AND SEEDS, PULSES AND PRODUCTS",Nuts and products,1 portion (56g),334.32,16.24,28,4.76,6.1,35.84,1.74
"Nuts, peanuts, all types, oil-roasted, with salt","NUTS AND SEEDS, PULSES AND PRODUCTS",Nuts and products,Cup (144g),862.56,40.36,75.6,21.97,13.54,87.84,6.02
"Nuts, peanuts, all types, oil-roasted, without salt","NUTS AND SEEDS, PULSES AND PRODUCTS",Nuts and products,Cup (133g),772.73,35.05,65.57,25.16,9.18,117.04,5.53
"Nuts, pistachio nuts, dry roasted, with salt added","NUTS AND SEEDS, PULSES AND PRODUCTS",Nuts and products,Whole (small) (.7g),3.95,0.15,0.31,0.13,0.07,0.75,0.05
"Nuts, pistachio nuts, dry roasted, without salt added","NUTS AND SEEDS, PULSES AND PRODUCTS",Nuts and products,Cup (128g),730.88,27.33,58.84,35.39,13.18,140.8,10
Peanut butter,"NUTS AND SEEDS, PULSES AND PRODUCTS",Nuts and products,Tablespoon (25g),150,6.53,12.1,3.8,1.45,12.5,2.6
"Peanut butter, sweetened, unsalted","NUTS AND SEEDS, PULSES AND PRODUCTS",Nuts and products,Tablespoon (25g),160.11,6.28,13.18,3.78,1.55,10,1.35
"Peanut butter, unsalted, unsweetened","NUTS AND SEEDS, PULSES AND PRODUCTS",Nuts and products,Tablespoon (25g),159.15,6.28,13.18,3.53,1.55,10,1.1
Pecan nut,"NUTS AND SEEDS, PULSES AND PRODUCTS",Nuts and products,Cup (110g),782.36,10.78,79.09,5.39,9.24,56.1,4.73
"Bean paste, fermented, with chilli","NUTS AND SEEDS, PULSES AND PRODUCTS","Pulses and products (eg beancurds, tempeh)",Tablespoon (18g),33.13,1.42,1.06,4.46,0.4,11.88,
"Bean, broad, boiled","NUTS AND SEEDS, PULSES AND PRODUCTS","Pulses and products (eg beancurds, tempeh)",Cup (170g),100.45,12.58,0.85,4.08,12.92,27.2,1.36
"Beancurd, preserved","NUTS AND SEEDS, PULSES AND PRODUCTS","Pulses and products (eg beancurds, tempeh)",Packet (229g),336.63,28.63,18.55,13.74,0,430.52,0
"Beancurd, red, preserved","NUTS AND SEEDS, PULSES AND PRODUCTS","Pulses and products (eg beancurds, tempeh)",Whole (7.56g),11.42,0.91,0.61,0.57,0.05,6.58,
"Beans, baked, canned, plain or vegetarian","NUTS AND SEEDS, PULSES AND PRODUCTS","Pulses and products (eg beancurds, tempeh)",Cup (254g),238.76,12.07,0.94,43.28,10.41,86.36,20.22
"Beans, black, fermented","NUTS AND SEEDS, PULSES AND PRODUCTS","Pulses and products (eg beancurds, tempeh)",Tablespoon (16g),39.04,3.86,,5.89,0.94,4.64,
"Beans, black, mature seeds, cooked, boiled, without salt","NUTS AND SEEDS, PULSES AND PRODUCTS","Pulses and products (eg beancurds, tempeh)",Cup (172g),227.04,15.24,0.93,40.78,14.96,46.44,
"Beans, lima, dried","NUTS AND SEEDS, PULSES AND PRODUCTS","Pulses and products (eg beancurds, tempeh)",Cup (180g),473.4,38.52,3.06,67.86,31.86,99,6.66
"Beans, soya bean, black","NUTS AND SEEDS, PULSES AND PRODUCTS","Pulses and products (eg beancurds, tempeh)",Cup (176g),656.48,56.67,23.41,54.56,,193.6,
"Beans, soya beans, mature cooked, boiled, without salt","NUTS AND SEEDS, PULSES AND PRODUCTS","Pulses and products (eg beancurds, tempeh)",Cup (172g),297.56,28.62,15.43,17.06,10.32,175.44,5.16
"Cheese tofu, uncooked","NUTS AND SEEDS, PULSES AND PRODUCTS","Pulses and products (eg beancurds, tempeh)",Piece (25g),51.75,2.7,3.85,1.58,0.3,23.25,0.88
"Chickpeas, mature seeds, cooked, boiled, without salt","NUTS AND SEEDS, PULSES AND PRODUCTS","Pulses and products (eg beancurds, tempeh)",Cup (164g),268.96,14.53,4.25,44.95,12.46,80.36,7.87
Egg tofu,"NUTS AND SEEDS, PULSES AND PRODUCTS","Pulses and products (eg beancurds, tempeh)",Cylindrical Piece/Tube (150g),99,10.5,6.3,0,2.25,43.5,0
"Flour, chickpea (besan)","NUTS AND SEEDS, PULSES AND PRODUCTS","Pulses and products (eg beancurds, tempeh)",Gram (1g),3.87,0.22,0.07,0.58,0.11,0.45,0.11
"Lentil, dried, uncooked","NUTS AND SEEDS, PULSES AND PRODUCTS","Pulses and products (eg beancurds, tempeh)",Cup (190g),544.03,45.98,3.8,66.5,26.03,138.7,2.85
"Lentils, dhal, yellow","NUTS AND SEEDS, PULSES AND PRODUCTS","Pulses and products (eg beancurds, tempeh)",Cup (191g),639.85,36.67,0.96,121.09,58.26,326.61,4.58
"Noodles, soya bean","NUTS AND SEEDS, PULSES AND PRODUCTS","Pulses and products (eg beancurds, tempeh)",Cup (98g),343,12.25,0.49,72.42,,25.48,
"Soy bean curd, fried","NUTS AND SEEDS, PULSES AND PRODUCTS","Pulses and products (eg beancurds, tempeh)",Piece (92g),202.4,15.64,13.98,3.4,,235.52,
Soya bean cake,"NUTS AND SEEDS, PULSES AND PRODUCTS","Pulses and products (eg beancurds, tempeh)",Whole (107g),109.14,11.66,5.03,4.28,0.32,175.48,1.71
"Soya bean cake, fermented","NUTS AND SEEDS, PULSES AND PRODUCTS","Pulses and products (eg beancurds, tempeh)",Piece (71g),112.18,11.29,5.33,3.98,2.91,48.99,
"Soya bean curd, less sweet","NUTS AND SEEDS, PULSES AND PRODUCTS","Pulses and products (eg beancurds, tempeh)",Bowl-dessert (15 cm) (537g),263.13,12.35,3.22,45.65,1.61,80.55,41.35
"Soya bean curd, sheet, dried, unsweetened","NUTS AND SEEDS, PULSES AND PRODUCTS","Pulses and products (eg beancurds, tempeh)",Sheet (28g),136.92,15.85,7.36,1.82,0.28,13.44,0.64
"Soya bean curd, strand, dried","NUTS AND SEEDS, PULSES AND PRODUCTS","Pulses and products (eg beancurds, tempeh)",Strand/Strips (15g),62.1,6.66,2.33,3.62,,35.85,
"Soya bean paste, fermented","NUTS AND SEEDS, PULSES AND PRODUCTS","Pulses and products (eg beancurds, tempeh)",Tablespoon (19g),27.74,1.84,1.03,2.79,1.12,26.41,
"Soya bean, sheet, dried, sweetened","NUTS AND SEEDS, PULSES AND PRODUCTS","Pulses and products (eg beancurds, tempeh)",Piece (28g),128.52,12.49,6.08,5.96,0.28,21.56,
Tau pok,"NUTS AND SEEDS, PULSES AND PRODUCTS","Pulses and products (eg beancurds, tempeh)",Piece (15g),53.25,3.8,3.86,0.84,,11.55,
Textured Vegetable protein,"NUTS AND SEEDS, PULSES AND PRODUCTS","Pulses and products (eg beancurds, tempeh)",Gram (1g),3.56,0.52,0.01,0.19,0.17,2.44,0.1
Tofu,"NUTS AND SEEDS, PULSES AND PRODUCTS","Pulses and products (eg beancurds, tempeh)",Piece (152g),123.15,12.31,5.62,5.78,0.61,249.28,2.43
"Black bean, preserved","NUTS AND SEEDS, PULSES AND PRODUCTS",Seeds and products,Sachet (25g),66.75,7.2,2.13,2.25,2.2,53,0.9
"Popcorn, regular, commercial","NUTS AND SEEDS, PULSES AND PRODUCTS",Seeds and products,Cup (8g),37.6,0.73,1.95,3.97,0.68,0.72,0.05
"Seeds, jackfruit (cempedak)","NUTS AND SEEDS, PULSES AND PRODUCTS",Seeds and products,Whole (8.4g),13.69,0.55,0.05,2.76,0.13,17.39,
"Seeds, jackfruit (nangka)","NUTS AND SEEDS, PULSES AND PRODUCTS",Seeds and products,Whole (11.2g),15.57,0.53,0.06,3.24,0.18,9.18,
"Seeds, lotus seed, dried","NUTS AND SEEDS, PULSES AND PRODUCTS",Seeds and products,Cup (32g),110.08,5.5,0.64,20.54,0.96,31.04,
"Seeds, melon seed, flesh only","NUTS AND SEEDS, PULSES AND PRODUCTS",Seeds and products,Cup (108g),601.56,30.56,51.19,16.52,5.83,58.32,
"Seeds, poppy, white","NUTS AND SEEDS, PULSES AND PRODUCTS",Seeds and products,Tablespoon (8.8g),46.2,1.58,3.66,2.48,1.72,126.54,0.26
"Seeds, sesame seed, black","NUTS AND SEEDS, PULSES AND PRODUCTS",Seeds and products,Cup (144g),764.64,27.5,66.38,14.4,20.16,1123.2,0.37
"Seeds, sesame seed, white","NUTS AND SEEDS, PULSES AND PRODUCTS",Seeds and products,Cup (140g),750.4,25.76,60.76,25.2,14.14,74.2,
"Seeds, watermelon seed, dried, black","NUTS AND SEEDS, PULSES AND PRODUCTS",Seeds and products,Cup (100g),530,21.2,43.1,14.2,5.4,147,
Sunflower seed,"NUTS AND SEEDS, PULSES AND PRODUCTS",Seeds and products,Tablespoon (12g),68.76,2.72,6.12,0.26,1.3,12,0.24
Tahini,"NUTS AND SEEDS, PULSES AND PRODUCTS",Seeds and products,Tablespoon (16g),104,3.26,9.71,0.16,2.16,52.8,0.11
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"Biscuit, chocolate chip and nut","SUGARS, SWEETS AND CONFECTIONERY",Confectionery (eg chocolates),Whole (31g),151.59,0,8.49,17.05,0.53,35.34,7.75
"Biscuit, jam-filled","SUGARS, SWEETS AND CONFECTIONERY",Confectionery (eg chocolates),Whole (14g),59.78,0.62,2.48,8.86,0.25,4.76,4.54
"Biscuit, macaroon","SUGARS, SWEETS AND CONFECTIONERY",Confectionery (eg chocolates),Whole (9.5g),46.36,0.48,2.43,5.44,0.82,1.9,3.37
"Biscuit, sandwiched with cream and jam filling","SUGARS, SWEETS AND CONFECTIONERY",Confectionery (eg chocolates),Whole (16g),76.48,0.67,3.73,10.26,0.24,4.32,5.36
"Biscuit, savoury, flavoured","SUGARS, SWEETS AND CONFECTIONERY",Confectionery (eg chocolates),Whole (2.5g),12.43,0.24,0.6,1.48,0.09,1.83,0.11
"Biscuit, savoury, rye crispbread","SUGARS, SWEETS AND CONFECTIONERY",Confectionery (eg chocolates),Whole (7.5g),25.43,0.81,0.19,4.54,1.08,3.08,0.14
"Biscuit, savoury, wholemeal wheat crispbread","SUGARS, SWEETS AND CONFECTIONERY",Confectionery (eg chocolates),Whole (6g),24.48,0.59,0.58,3.82,0.75,1.74,0.08
"Biscuit, shortbread style","SUGARS, SWEETS AND CONFECTIONERY",Confectionery (eg chocolates),Whole (15g),76.05,0.89,3.95,9.3,0.29,5.25,2.91
"Biscuit, sweet, plain","SUGARS, SWEETS AND CONFECTIONERY",Confectionery (eg chocolates),Piece (8.5g),38.51,0.54,1.37,5.99,0.17,2.64,1.84
"Biscuit, sweet, with dried fruit","SUGARS, SWEETS AND CONFECTIONERY",Confectionery (eg chocolates),Whole (10g),47.1,0.54,2.18,6.34,0.24,4.2,2.55
"Biscuit, sweet, with fruit and nut","SUGARS, SWEETS AND CONFECTIONERY",Confectionery (eg chocolates),Whole (13g),63.18,0.78,3.35,7.54,0.25,9.49,3.22
"Biscuit, sweet, with nuts","SUGARS, SWEETS AND CONFECTIONERY",Confectionery (eg chocolates),Whole (11g),54.01,0.74,2.66,6.82,0.26,3.96,3.03
"Biscuit, vanilla flavoured, sandwiched with cream filling","SUGARS, SWEETS AND CONFECTIONERY",Confectionery (eg chocolates),Whole (15g),73.05,0.74,3.6,9.57,0.23,9.45,4.71
"Candy bar, chocolate caramel","SUGARS, SWEETS AND CONFECTIONERY",Confectionery (eg chocolates),1 portion (55g),278.85,2.15,18.81,30.2,3.03,13.2,28.31
"Candy bar, chocolate, with coconut cream","SUGARS, SWEETS AND CONFECTIONERY",Confectionery (eg chocolates),Packet (53g),225.44,2.39,11.87,27.61,3.92,46.11,23.48
"Candy bar, chocolate, with nuts and caramel","SUGARS, SWEETS AND CONFECTIONERY",Confectionery (eg chocolates),Packet (57g),273.03,4.56,14.01,33.75,1.43,53.58,28.09
"Candy, coconut","SUGARS, SWEETS AND CONFECTIONERY",Confectionery (eg chocolates),Piece (74g),318.18,3.11,13.25,46.55,0,4.44,
"Caramels, confectionery","SUGARS, SWEETS AND CONFECTIONERY",Confectionery (eg chocolates),Whole (12g),46.51,0.3,1.37,8.94,0.18,8.04,6.55
"Chocolate, baking, bitter","SUGARS, SWEETS AND CONFECTIONERY",Confectionery (eg chocolates),Cube/Square (29g),146.52,3.1,8.28,14.89,0,22.78,12.37
"Chocolate, baking, sweet","SUGARS, SWEETS AND CONFECTIONERY",Confectionery (eg chocolates),Cube/Square (29g),153.18,1.04,10.44,13.76,0,26.97,12.64
"Chocolate, candy coated","SUGARS, SWEETS AND CONFECTIONERY",Confectionery (eg chocolates),Packet (50g),241.5,2.45,8.85,38.35,0,55,32.45
"Chocolate, dark","SUGARS, SWEETS AND CONFECTIONERY",Confectionery (eg chocolates),Cube/Square (20g),103.49,1.28,5.7,12.52,0.24,10.4,10.4
"Chocolate, milk","SUGARS, SWEETS AND CONFECTIONERY",Confectionery (eg chocolates),Cube/Square (5g),26.91,0.41,1.5,3.1,0.04,12.5,2.78
"Chocolate, milk with nuts","SUGARS, SWEETS AND CONFECTIONERY",Confectionery (eg chocolates),Cube/Square (29g),150.97,3.22,8.56,15.37,1.42,66.7,12.99
"Chocolate, milk, beans","SUGARS, SWEETS AND CONFECTIONERY",Confectionery (eg chocolates),Packet (37g),139.49,0.81,0.96,31.89,0,19.98,29.29
"Chocolate, milk, filled with soft cream type filling","SUGARS, SWEETS AND CONFECTIONERY",Confectionery (eg chocolates),Cube/Square (17g),83.13,1.05,4.2,10.44,0,28.9,9.11
"Chocolate, sprinkle","SUGARS, SWEETS AND CONFECTIONERY",Confectionery (eg chocolates),Teaspoon (5g),25.14,0.27,1.16,3.42,0,4,
"Gum, chewing","SUGARS, SWEETS AND CONFECTIONERY",Confectionery (eg chocolates),Whole (4g),12.67,0,0,4,0,0,
Licorice,"SUGARS, SWEETS AND CONFECTIONERY",Confectionery (eg chocolates),Piece (13g),29.67,0.64,0.1,6.75,0.39,36.4,4.78
Marshmallow,"SUGARS, SWEETS AND CONFECTIONERY",Confectionery (eg chocolates),Whole (3.89g),12.42,0,0,3.19,0,0.7,3.19
"Muesli bar, chocolate-coated","SUGARS, SWEETS AND CONFECTIONERY",Confectionery (eg chocolates),Piece (31g),124,1.95,4.87,18.1,1.67,21.08,7.56
"Muesli bar, plain or with dried fruit","SUGARS, SWEETS AND CONFECTIONERY",Confectionery (eg chocolates),Piece (31g),115.63,1.74,4.74,15.75,1.8,8.99,5.58
"Muesli bar, with chocolate chips","SUGARS, SWEETS AND CONFECTIONERY",Confectionery (eg chocolates),Packet (31g),105.09,1.58,3.91,16.18,1.89,12.71,6.63
"Muesli bar, with nuts","SUGARS, SWEETS AND CONFECTIONERY",Confectionery (eg chocolates),Whole (31g),127.72,2.64,5.67,15.93,1.49,8.99,5.7
"Nougat, apricot","SUGARS, SWEETS AND CONFECTIONERY",Confectionery (eg chocolates),Packet (70g),258.99,1.61,3.29,55.23,0.49,19.6,
"Peanut, chocolate coated","SUGARS, SWEETS AND CONFECTIONERY",Confectionery (eg chocolates),Packet (205g),1043.47,35.26,63.35,83.03,9.64,311.6,0
"Popcorn, unpopped","SUGARS, SWEETS AND CONFECTIONERY",Confectionery (eg chocolates),Gram (1g),3.62,0.12,0.05,0.58,0.14,0.1,0.01
"Raisin, chocolate","SUGARS, SWEETS AND CONFECTIONERY",Confectionery (eg chocolates),Whole (100g),483,7.3,23.4,60.9,4.2,178,
"Snack bar, fruit, nuts, seeds","SUGARS, SWEETS AND CONFECTIONERY",Confectionery (eg chocolates),Packet (50g),204,4.55,9.8,25.2,3.85,31.5,18.05
"Sorbet, fruit","SUGARS, SWEETS AND CONFECTIONERY",Confectionery (eg chocolates),Cup (198g),192.06,0.4,0.59,49.1,,15.84,46.13
"Sugar confectionery, jelly variety","SUGARS, SWEETS AND CONFECTIONERY",Confectionery (eg chocolates),Whole (10g),25.79,0.53,0,6.37,,0.6,5.06
"Sweet, hard boiled","SUGARS, SWEETS AND CONFECTIONERY",Confectionery (eg chocolates),Whole (12g),35.51,0,0,9.64,0,0.24,8.83
Vanilla ice cream cone with chocolate bits,"SUGARS, SWEETS AND CONFECTIONERY",Confectionery (eg chocolates),1 portion (62g),169.38,3.41,9.42,17.73,0.87,50.22,14.94
Violet crumble,"SUGARS, SWEETS AND CONFECTIONERY",Confectionery (eg chocolates),Packet (52g),220.44,1.35,8.42,36.4,0.16,39.52,33.38
Yoghurt muesli bar,"SUGARS, SWEETS AND CONFECTIONERY",Confectionery (eg chocolates),Piece (31g),123.38,2.05,4.31,18.45,1.98,30.07,7.16
Acai bowl,"SUGARS, SWEETS AND CONFECTIONERY","Desserts (puddings, mousses)",Bowl-soup (16 and 1/2 cm) (347g),374.76,7.98,13.91,54.13,7.98,70.44,47.89
Almond paste,"SUGARS, SWEETS AND CONFECTIONERY","Desserts (puddings, mousses)",Bowl-dessert (15 cm) (262g),214.84,5.5,11.27,23.06,1.57,41.13,18.08
Chocolate tart,"SUGARS, SWEETS AND CONFECTIONERY","Desserts (puddings, mousses)",Piece (90g),388.8,6.84,26.57,30.51,2.97,63.09,18.36
Glass jelly with sugar syrup,"SUGARS, SWEETS AND CONFECTIONERY","Desserts (puddings, mousses)",Bowl-dessert (15 cm) (439g),136.09,0,0.22,33.8,0,16.33,31.61
Glass jelly without sugar syrup,"SUGARS, SWEETS AND CONFECTIONERY","Desserts (puddings, mousses)",Bowl-dessert (15 cm) (400g),16,0,0.12,4,0,14.28,2
"Ice kacang, less sweet","SUGARS, SWEETS AND CONFECTIONERY","Desserts (puddings, mousses)",Bowl-dessert (15 cm) (400g),172,4.8,1.2,35.6,10.4,48,28.4
Ice kachang,"SUGARS, SWEETS AND CONFECTIONERY","Desserts (puddings, mousses)",Bowl-dessert (15 cm) (406g),255.78,5.68,1.62,54.81,3.65,42.22,44.66
